"","Fecha","CVEGEO","MUNICIPIO","ACUMULADOS","NUEVOS","diasemana","CASOS SEMANALES"
"1",2020-03-18,"26001","Aconchi",0,0,"miércoles",0
"2",2020-03-18,"26002","Agua Prieta",0,0,"miércoles",0
"3",2020-03-18,"26003","Álamos",0,0,"miércoles",0
"4",2020-03-18,"26004","Altar",0,0,"miércoles",0
"5",2020-03-18,"26005","Arivechi",0,0,"miércoles",0
"6",2020-03-18,"26006","Arizpe",0,0,"miércoles",0
"7",2020-03-18,"26008","Bacadéhuachi",0,0,"miércoles",0
"8",2020-03-18,"26009","Bacanora",0,0,"miércoles",0
"9",2020-03-18,"26010","Bacerac",0,0,"miércoles",0
"10",2020-03-18,"26011","Bacoachi",0,0,"miércoles",0
"11",2020-03-18,"26012","Bácum",0,0,"miércoles",0
"12",2020-03-18,"26013","Banámichi",0,0,"miércoles",0
"13",2020-03-18,"26014","Baviácora",0,0,"miércoles",0
"14",2020-03-18,"26015","Bavispe",0,0,"miércoles",0
"15",2020-03-18,"26071","Benito Juárez",0,0,"miércoles",0
"16",2020-03-18,"26016","Benjamín Hill",0,0,"miércoles",0
"17",2020-03-18,"26017","Caborca",0,0,"miércoles",0
"18",2020-03-18,"26018","Cajeme",0,0,"miércoles",0
"19",2020-03-18,"26019","Cananea",0,0,"miércoles",0
"20",2020-03-18,"26020","Carbó",0,0,"miércoles",0
"21",2020-03-18,"26022","Cucurpe",0,0,"miércoles",0
"22",2020-03-18,"26023","Cumpas",0,0,"miércoles",0
"23",2020-03-18,"26024","Divisaderos",0,0,"miércoles",0
"24",2020-03-18,"26025","Empalme",0,0,"miércoles",0
"25",2020-03-18,"26026","Etchojoa",0,0,"miércoles",0
"26",2020-03-18,"26027","Fronteras",0,0,"miércoles",0
"27",2020-03-18,"26070","General Plutarco Elías Calles",0,0,"miércoles",0
"28",2020-03-18,"26028","Granados",0,0,"miércoles",0
"29",2020-03-18,"26029","Guaymas",0,0,"miércoles",0
"30",2020-03-18,"26030","Hermosillo",2,1,"miércoles",0
"31",2020-03-18,"26031","Huachinera",0,0,"miércoles",0
"32",2020-03-18,"26032","Huásabas",0,0,"miércoles",0
"33",2020-03-18,"26033","Huatabampo",0,0,"miércoles",0
"34",2020-03-18,"26034","Huépac",0,0,"miércoles",0
"35",2020-03-18,"26035","Imuris",0,0,"miércoles",0
"36",2020-03-18,"26021","La Colorada",0,0,"miércoles",0
"37",2020-03-18,"26036","Magdalena",0,0,"miércoles",0
"38",2020-03-18,"26038","Moctezuma",0,0,"miércoles",0
"39",2020-03-18,"26039","Naco",0,0,"miércoles",0
"40",2020-03-18,"26040","Nácori Chico",0,0,"miércoles",0
"41",2020-03-18,"26041","Nacozari de García",0,0,"miércoles",0
"42",2020-03-18,"26042","Navojoa",0,0,"miércoles",0
"43",2020-03-18,"26043","Nogales",0,0,"miércoles",0
"44",2020-03-18,"26044","Ónavas",0,0,"miércoles",0
"45",2020-03-18,"26045","Opodepe",0,0,"miércoles",0
