"","Fecha","CVEGEO","MUNICIPIO","DECESOS","NUEVOS"
"1",2020-04-04,26001,"Aconchi",0,0
"2",2020-04-04,26002,"Agua Prieta",0,0
"3",2020-04-04,26003,"Álamos",0,0
"4",2020-04-04,26004,"Altar",0,0
"5",2020-04-04,26006,"Arizpe",0,0
"6",2020-04-04,26011,"Bacoachi",0,0
"7",2020-04-04,26012,"Bácum",0,0
"8",2020-04-04,26014,"Baviácora",0,0
"9",2020-04-04,26015,"Bavispe",0,0
"10",2020-04-04,26071,"Benito Juárez",0,0
"11",2020-04-04,26016,"Benjamín Hill",0,0
"12",2020-04-04,26017,"Caborca",0,0
"13",2020-04-04,26018,"Cajeme",0,0
"14",2020-04-04,26019,"Cananea",0,0
"15",2020-04-04,26020,"Carbó",0,0
"16",2020-04-04,26023,"Cumpas",0,0
"17",2020-04-04,26025,"Empalme",0,0
"18",2020-04-04,26026,"Etchojoa",0,0
"19",2020-04-04,26027,"Fronteras",0,0
"20",2020-04-04,26070,"General Plutarco Elías Calles",0,0
"21",2020-04-04,26029,"Guaymas",0,0
"22",2020-04-04,26030,"Hermosillo",0,0
"23",2020-04-04,26033,"Huatabampo",0,0
"24",2020-04-04,26035,"Imuris",0,0
"25",2020-04-04,26036,"Magdalena",1,1
"26",2020-04-04,26038,"Moctezuma",0,0
"27",2020-04-04,26039,"Naco",0,0
"28",2020-04-04,26040,"Nácori Chico",0,0
"29",2020-04-04,26041,"Nacozari de García",0,0
"30",2020-04-04,26042,"Navojoa",0,0
"31",2020-04-04,26043,"Nogales",0,0
"32",2020-04-04,26045,"Opodepe",0,0
"33",2020-04-04,26046,"Oquitoa",0,0
"34",2020-04-04,26047,"Pitiquito",0,0
"35",2020-04-04,26048,"Puerto Peñasco",0,0
"36",2020-04-04,26050,"Rayón",0,0
"37",2020-04-04,26051,"Rosario",0,0
"38",2020-04-04,26052,"Sahuaripa",0,0
"39",2020-04-04,26072,"San Ignacio Río Muerto",0,0
"40",2020-04-04,26055,"San Luis Río Colorado",0,0
"41",2020-04-04,26056,"San Miguel de Horcasitas",0,0
"42",2020-04-04,26058,"Santa Ana",0,0
"43",2020-04-04,26059,"Santa Cruz",0,0
"44",2020-04-04,26060,"Sáric",0,0
"45",2020-04-04,26066,"Ures",0,0
"46",2020-04-04,26067,"Villa Hidalgo",0,0
"47",2020-04-05,26001,"Aconchi",0,0
"48",2020-04-05,26002,"Agua Prieta",0,0
"49",2020-04-05,26003,"Álamos",0,0
"50",2020-04-05,26004,"Altar",0,0
"51",2020-04-05,26006,"Arizpe",0,0
"52",2020-04-05,26011,"Bacoachi",0,0
"53",2020-04-05,26012,"Bácum",0,0
"54",2020-04-05,26014,"Baviácora",0,0
"55",2020-04-05,26015,"Bavispe",0,0
"56",2020-04-05,26071,"Benito Juárez",0,0
"57",2020-04-05,26016,"Benjamín Hill",0,0
"58",2020-04-05,26017,"Caborca",0,0
"59",2020-04-05,26018,"Cajeme",0,0
"60",2020-04-05,26019,"Cananea",0,0
"61",2020-04-05,26020,"Carbó",0,0
"62",2020-04-05,26023,"Cumpas",0,0
"63",2020-04-05,26025,"Empalme",0,0
"64",2020-04-05,26026,"Etchojoa",0,0
"65",2020-04-05,26027,"Fronteras",0,0
"66",2020-04-05,26070,"General Plutarco Elías Calles",0,0
"67",2020-04-05,26029,"Guaymas",0,0
"68",2020-04-05,26030,"Hermosillo",0,0
"69",2020-04-05,26033,"Huatabampo",0,0
"70",2020-04-05,26035,"Imuris",0,0
"71",2020-04-05,26036,"Magdalena",1,0
"72",2020-04-05,26038,"Moctezuma",0,0
"73",2020-04-05,26039,"Naco",0,0
"74",2020-04-05,26040,"Nácori Chico",0,0
"75",2020-04-05,26041,"Nacozari de García",0,0
"76",2020-04-05,26042,"Navojoa",0,0
"77",2020-04-05,26043,"Nogales",0,0
"78",2020-04-05,26045,"Opodepe",0,0
"79",2020-04-05,26046,"Oquitoa",0,0
"80",2020-04-05,26047,"Pitiquito",0,0
"81",2020-04-05,26048,"Puerto Peñasco",0,0
"82",2020-04-05,26050,"Rayón",0,0
"83",2020-04-05,26051,"Rosario",0,0
"84",2020-04-05,26052,"Sahuaripa",0,0
"85",2020-04-05,26072,"San Ignacio Río Muerto",0,0
"86",2020-04-05,26055,"San Luis Río Colorado",0,0
"87",2020-04-05,26056,"San Miguel de Horcasitas",0,0
"88",2020-04-05,26058,"Santa Ana",0,0
"89",2020-04-05,26059,"Santa Cruz",0,0
"90",2020-04-05,26060,"Sáric",0,0
"91",2020-04-05,26066,"Ures",0,0
"92",2020-04-05,26067,"Villa Hidalgo",0,0
"93",2020-04-06,26001,"Aconchi",0,0
"94",2020-04-06,26002,"Agua Prieta",0,0
"95",2020-04-06,26003,"Álamos",0,0
"96",2020-04-06,26004,"Altar",0,0
